feat,clf,test_acc,train_acc,train_time,pred_time,vec_length
hog + color histograms + binned color,svc,0.9823,1.0,14.12,0.00055,4932
hog + color histograms + binned color,lrc,0.984,1.0,30.71,0.00057,4932
hog + color histograms + binned color,mlp,0.9927,1.0,24.06,0.00269,4932
hog + binned color,svc,0.9789,1.0,17.0,0.00053,4836
hog + binned color,lrc,0.9786,1.0,29.87,0.00056,4836
hog + binned color,mlp,0.9904,1.0,22.37,0.00272,4836
hog + color histograms,svc,0.9783,1.0,4.89,0.00029,1860
hog + color histograms,lrc,0.9811,1.0,11.73,0.00031,1860
hog + color histograms,mlp,0.9949,1.0,6.94,0.00123,1860
hog only,svc,0.9507,1.0,6.61,0.00031,1764
hog only,lrc,0.9614,0.9977,8.86,0.00032,1764
hog only,mlp,0.9921,1.0,7.7,0.00114,1764

